Client ID,Subscription Product,Program Start Date,Date Closed,Status,Client State,Monthly Income,Welcome Call Complete Date
BBG2552533,1,1/16/2015,1/0/1900,Client,AR,2850,1/7/2015
DHJ2779507,1,6/19/2015,1/0/1900,Client,NY,1140,6/11/2015
AFFQB276707,0,1/30/2015,1/0/1900,Client,MI,3325,1/12/2015
AFFQB284149,0,3/20/2015,1/0/1900,Client,FL,4045.1,2/24/2015
AFFQB305333,0,6/16/2015,1/0/1900,Client,CA,2945,6/4/2015
SKW2744421,1,6/15/2015,1/0/1900,Client,AL,3800,5/20/2015
AFFQB277447,0,2/1/2015,1/0/1900,Client,FL,3581.5,1/15/2015
AFFQB275456,0,1/30/2015,1/0/1900,Client,NY,23750,1/6/2015
AFFQB296369,0,5/3/2015,1/0/1900,Client,CA,2280,4/27/2015
ALB2671074,1,5/10/2015,1/0/1900,Client,MA,5700,4/6/2015
AFFQB301495,1,6/6/2015,1/0/1900,Client,CA,4750,5/26/2015
AFFQB279412,0,1/30/2015,1/0/1900,Client,AZ,2850,1/27/2015
GAS2724313,0,6/5/2015,1/0/1900,Client,CA,1330,6/3/2015
AFFQB297655,0,5/28/2015,1/0/1900,Client,AK,2850,5/7/2015
AFFQB305389,0,6/21/2015,1/0/1900,Client,TX,1763.2,6/4/2015
BAB2602090,0,2/20/2015,1/0/1900,Client,CA,2280,2/13/2015
AFFQB284147,0,3/18/2015,1/0/1900,Client,FL,2083.35,2/27/2015
AFFQB301216,1,5/28/2015,1/0/1900,Client,MI,2945,5/18/2015
SXB2708810,0,5/5/2015,1/0/1900,Client,FL,2660,4/29/2015
AFFQB284667,1,3/27/2015,1/0/1900,Client,FL,8550,2/26/2015
AFFQB274709,1,1/8/2015,1/0/1900,Client,NY,5381.75,12/29/2014
DKA2776721,1,6/26/2015,1/0/1900,Client,OH,7600,6/8/2015
AFFQB275003,1,1/9/2015,1/0/1900,Client,NY,6293.75,12/31/2014
AFFQB283783,1,4/3/2015,1/0/1900,Client,MS,9500,3/9/2015
DBN2797650,1,6/26/2015,1/0/1900,Client,CA,8056,7/2/2015
ALH2699890,0,5/18/2015,1/0/1900,Client,CA,2850,5/16/2015
AFFQB296391,0,5/15/2015,1/0/1900,Client,TX,10450,4/27/2015
AFFQB276799,0,1/31/2015,1/0/1900,Client,CA,2375,1/22/2015
AFFQB287908,0,4/10/2015,1/0/1900,Client,TN,2280,3/26/2015
AFFQB283118,0,2/20/2015,1/0/1900,Client,OK,2090,2/17/2015
AFFQB300014,1,5/19/2015,12/11/2015,Terminated,FL,760,5/13/2015
CMF2661690,1,5/1/2015,1/0/1900,Client,PA,1805,4/24/2015
AFFQB299101,1,5/28/2015,1/0/1900,Client,MI,950,5/8/2015
DLB2518186,1,1/2/2015,1/0/1900,Client,MD,2090,12/11/2014
AGT2679550,1,4/10/2015,2/1/2016,Terminated,FL,3705,4/16/2015
AFFQB284748,1,3/30/2015,1/0/1900,Client,MA,2850,3/5/2015
KTR2771135,0,6/26/2015,1/0/1900,Client,OH,38000,6/8/2015
AFFQB298684,0,5/14/2015,1/0/1900,Client,NY,5890,5/7/2015
VMF2629657,1,4/1/2015,1/0/1900,Client,TX,2850,1/0/1900
AFFQB309643,1,6/26/2015,1/0/1900,Client,CA,4845,6/22/2015
AFFQB273686,0,1/28/2015,1/0/1900,Client,NC,4275,12/18/2014
AFFQB286249,0,3/30/2015,1/0/1900,Client,AZ,3800,3/4/2015
MXA2587024,0,2/2/2015,1/0/1900,Client,PR,2185,1/30/2015
AFFQB296174,0,5/22/2015,1/20/2016,Terminated,CA,9025,4/24/2015
JXK2715430,1,5/14/2015,1/0/1900,Client,MO,2090,4/28/2015
KTR2691816,1,4/24/2015,1/0/1900,Client,FL,3325,4/13/2015
JRW2576083,0,2/12/2015,1/0/1900,Client,OH,4370,2/10/2015
CTH2649933,1,4/2/2015,1/0/1900,Client,MD,2850,3/18/2015
TLH2519620,0,3/13/2015,1/0/1900,Client,NV,1900,3/12/2015
IEU2592080,1,2/14/2015,1/0/1900,Client,OH,3040,2/4/2015
CZS2740169,1,6/5/2015,1/0/1900,Client,LA,1900,5/18/2015
TAM2681959,0,5/14/2015,1/0/1900,Client,MA,1425,4/24/2015
RJC2720571,0,5/15/2015,1/0/1900,Client,CA,2660,5/4/2015
AFFQB283639,0,3/23/2015,1/0/1900,Client,NY,2660,2/20/2015
AFFQB287274,0,3/23/2015,1/0/1900,Client,TX,4085,3/10/2015
AFFQB303556,1,6/15/2015,1/0/1900,Client,PA,3990,5/29/2015
ATJ2545975,0,1/12/2015,12/15/2015,Terminated,CO,3040,12/31/2014
AFFQB273770,1,2/7/2015,1/0/1900,Client,OK,760,2/5/2015
AFFQB285496,0,3/30/2015,1/0/1900,Client,NY,3325,2/27/2015
LSD2762072,1,6/15/2015,1/0/1900,Client,CA,1900,6/4/2015
AFFQB293248,1,4/30/2015,1/0/1900,Client,NY,3230,4/15/2015
EAD2739433,1,6/12/2015,1/0/1900,Client,NY,2042.5,5/15/2015
MJV2676507,0,4/24/2015,1/0/1900,Client,TX,3705,4/6/2015
AFFQB290616,1,3/27/2015,1/0/1900,Client,PA,3040,3/26/2015
AFFQB302869,0,6/15/2015,1/0/1900,Client,NC,3087.5,6/1/2015
AFFQB287064,0,3/20/2015,1/0/1900,Client,PA,3230,3/14/2015
TYD2662645,0,4/10/2015,1/0/1900,Client,NC,3087.5,1/0/1900
NSD2684233,1,6/9/2015,1/0/1900,Client,NV,4750,5/19/2015
AFFQB275749,0,2/11/2015,1/0/1900,Client,NY,2375,1/8/2015
AFFQB297032,1,5/27/2015,1/0/1900,Client,TX,2470,4/29/2015
AFFQB294449,1,5/15/2015,1/0/1900,Client,LA,3800,4/16/2015
ALB2719906,1,5/25/2015,1/0/1900,Client,AR,2565,5/14/2015
AFFQB298423,0,5/22/2015,1/0/1900,Client,CA,5728.5,5/7/2015
AFFQB283924,0,3/5/2015,1/0/1900,Client,CA,2850,3/4/2015
EEA2492496,0,1/9/2015,1/0/1900,Client,CA,1425,1/0/1900
AFFQB300608,0,6/12/2015,1/0/1900,Client,NC,3800,5/15/2015
AFFQB274652,1,2/18/2015,1/0/1900,Client,CA,3325,1/7/2015
BBG2759758,1,6/7/2015,1/4/2016,Terminated,FL,3800,5/28/2015
AFFQB307495,0,6/16/2015,1/0/1900,Client,MO,593.75,6/15/2015
KXH2710495,0,5/29/2015,1/0/1900,Client,MD,1425,5/22/2015
DXD2640321,0,4/10/2015,1/0/1900,Client,MA,7125,4/24/2015
RXB2706091,0,5/20/2015,1/0/1900,Client,MN,2090,5/11/2015
SAC2734725,1,6/12/2015,1/0/1900,Client,TN,2660,5/18/2015
BAB2616282,0,2/27/2015,1/0/1900,Client,LA,1900,2/20/2015
RMT2535906,1,1/2/2015,1/0/1900,Client,FL,4465,12/19/2014
KJM2536089,0,1/20/2015,1/0/1900,Client,FL,3800,1/14/2015
JRQ2570177,0,1/23/2015,1/0/1900,Client,CA,855,1/22/2015
TYD2736294,0,6/15/2015,1/0/1900,Client,AZ,4940,5/13/2015
AFFQB302013,0,6/30/2015,1/0/1900,Client,VA,2375,5/26/2015
AFFQB299318,0,5/28/2015,1/0/1900,Client,NY,2850,5/9/2015
JLK2602319,1,3/11/2015,1/0/1900,Client,CA,2850,3/6/2015
DOK2579834,1,2/10/2015,1/0/1900,Client,TX,4275,1/26/2015
GLT2531142,1,1/9/2015,1/0/1900,Client,AZ,2850,12/16/2014
AFFQB287806,1,3/18/2015,1/0/1900,Client,OH,1900,3/17/2015
AFFQB274155,1,2/16/2015,1/0/1900,Client,NY,4275,1/13/2015
AFFQB304520,0,6/13/2015,1/0/1900,Client,MD,6175,6/2/2015
RJG2530898,1,1/9/2015,1/0/1900,Client,CA,4465,12/19/2014
AFFQB306989,0,6/26/2015,1/0/1900,Client,AZ,2213.5,6/11/2015
SZS2647675,1,4/3/2015,1/0/1900,Client,MD,807.5,3/19/2015
DAS2762684,1,6/12/2015,1/0/1900,Client,PA,855,6/1/2015
AFFQB281401,0,2/22/2015,1/0/1900,Client,VA,1710,2/17/2015
DOD2769566,0,6/5/2015,1/0/1900,Client,AL,6650,6/2/2015
AFFQB305128,0,6/22/2015,1/0/1900,Client,TX,2636.25,6/9/2015
SXW2760064,0,6/12/2015,1/0/1900,Client,CA,1900,6/2/2015
AFFQB287825,1,4/20/2015,1/0/1900,Client,OH,3800,3/18/2015
AFFQB292141,0,4/24/2015,1/0/1900,Client,FL,7125,4/6/2015
AFFQB282503,0,3/7/2015,1/0/1900,Client,CA,1425,2/13/2015
DJG2576553,1,2/13/2015,1/0/1900,Client,PA,2565,1/23/2015
AFFQB303032,0,6/22/2015,1/0/1900,Client,OK,1444,5/27/2015
AFFQB282002,1,3/1/2015,1/0/1900,Client,NY,2850,2/10/2015
AFFQB293389,0,4/30/2015,1/0/1900,Client,UT,2565,4/10/2015
AFFQB303354,1,6/23/2015,1/0/1900,Client,OK,2185,6/1/2015
DHJ2601144,1,3/14/2015,1/0/1900,Client,TX,1045,2/10/2015
JEM2752820,1,5/22/2015,1/0/1900,Client,MI,1140,5/22/2015
AOG2674746,1,4/30/2015,1/0/1900,Client,NE,3705,4/3/2015
KRJ2681828,0,5/1/2015,1/0/1900,Client,FL,4275,4/9/2015
ATJ2603294,1,2/25/2015,1/0/1900,Client,NC,4764.25,2/11/2015
AFFQB282364,0,3/14/2015,1/0/1900,Client,CA,1140,3/6/2015
AFFQB300394,0,6/12/2015,1/0/1900,Client,AL,2850,5/14/2015
AFFQB293930,0,5/15/2015,1/0/1900,Client,FL,3610,4/14/2015
